Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region
Afghanistan,126,82,3109153,16,594982,28,1051783,Very Low Confidence,4,Southern Asia
Albania,127,83,238492,16,45058,28,79651,Very Low Confidence,8,Southern Europe
Algeria,135,91,3918529,16,673360,28,1190335,Very Low Confidence,12,Northern Africa
Andorra,123,84,6497,13,988,26,1971,Low Confidence,20,Southern Europe
Angola,144,100,3169523,16,497755,28,879908,Very Low Confidence,24,Sub-Saharan Africa
Antigua and Barbuda,113,74,7178,13,1244,26,2483,Low Confidence,28,Latin America and the Caribbean
Argentina,116,72,3243563,16,700380,28,1238100,Very Low Confidence,32,Latin America and the Caribbean
Armenia,137,93,275195,16,46259,28,81775,Very Low Confidence,51,Western Asia
Aruba,113,74,7858,13,1362,26,2718,Low Confidence,533,Latin America and the Caribbean
Australia,133,102,2563110,9,238248,22,546340,High Confidence,36,Australia and New Zealand
Austria,76,39,349249,9,77289,28,254191,High Confidence,40,Western Europe
Azerbaijan,137,93,934872,16,157148,28,277800,Very Low Confidence,31,Western Asia
Bahamas,113,74,28792,13,4990,26,9960,Low Confidence,44,Latin America and the Caribbean
Bahrain,171,132,216161,13,21026,26,41966,Low Confidence,48,Western Asia
Bangladesh,84,65,10618233,16,2550080,3,544436,Very Low Confidence,50,Southern Asia
Barbados,113,74,21215,13,3677,26,7339,Low Confidence,52,Latin America and the Caribbean
Belarus,112,68,646356,16,147838,28,261341,Very Low Confidence,112,Eastern Europe
Belgium,80,50,576036,10,112100,20,227371,Medium Confidence,56,Western Europe
Belize,97,53,20564,16,6106,28,10794,Very Low Confidence,84,Latin America and the Caribbean
Benin,144,100,1175297,16,184573,28,326280,Very Low Confidence,204,Sub-Saharan Africa
Bermuda,113,74,4606,13,801,26,1598,Low Confidence,60,Northern America
Bhutan,123,79,60000,16,11935,28,21098,Very Low Confidence,64,Southern Asia
Bolivia (Plurin. State of),124,80,922012,16,180068,28,318315,Very Low Confidence,68,Latin America and the Caribbean
Bosnia and Herzegovina,127,83,273269,16,51628,28,91266,Very Low Confidence,70,Southern Europe
Botswana,136,92,211802,16,36030,28,63693,Very Low Confidence,72,Sub-Saharan Africa
Brazil,104,60,12578308,16,3300862,28,5835112,Very Low Confidence,76,Latin America and the Caribbean
British Virgin Islands,113,74,2218,13,384,26,767,Low Confidence,92,Latin America and the Caribbean
Brunei Darussalam,119,80,34739,13,5551,26,11080,Low Confidence,96,South-eastern Asia
Bulgaria,112,68,478667,16,109483,28,193539,Very Low Confidence,100,Eastern Europe
Burkina Faso,147,103,2086893,16,317831,28,561848,Very Low Confidence,854,Sub-Saharan Africa
Burundi,147,103,1184127,16,180341,28,318799,Very Low Confidence,108,Sub-Saharan Africa
Cabo Verde,144,100,54765,16,8601,28,15204,Very Low Confidence,132,Sub-Saharan Africa
Cambodia,130,86,1423397,16,257853,28,455820,Very Low Confidence,116,South-eastern Asia
Cameroon,144,100,2577064,16,404713,28,715433,Very Low Confidence,120,Sub-Saharan Africa
Canada,118,79,2938321,13,479284,26,956615,Low Confidence,124,Northern America
Cayman Islands,113,74,4797,13,831,26,1660,Low Confidence,136,Latin America and the Caribbean
Central African Republic,147,103,487305,16,74216,28,131196,Very Low Confidence,140,Sub-Saharan Africa
Chad,147,103,1637656,16,249413,28,440901,Very Low Confidence,148,Sub-Saharan Africa
Chile,113,74,1400946,13,242800,26,484611,Low Confidence,152,Latin America and the Caribbean
China,126,64,91646213,16,22424705,46,65377741,Very Low Confidence,156,Eastern Asia
"China, Hong Kong SAR",110,71,530985,13,95267,26,190147,Low Confidence,344,Eastern Asia
"China, Macao SAR",110,71,45728,13,8204,26,16375,Low Confidence,446,Eastern Asia
Colombia,114,70,3545499,16,787320,28,1391787,Very Low Confidence,170,Latin America and the Caribbean
Comoros,144,100,84742,16,13308,28,23526,Very Low Confidence,174,Sub-Saharan Africa
Congo,144,100,535851,16,84152,28,148760,Very Low Confidence,178,Sub-Saharan Africa
Costa Rica,116,72,365609,16,78946,28,139556,Very Low Confidence,188,Latin America and the Caribbean
Côte d’Ivoire,144,100,2561140,16,402212,28,711012,Very Low Confidence,384,Sub-Saharan Africa
Croatia,123,84,348070,13,52915,26,105613,Low Confidence,191,Southern Europe
Cuba,116,72,820910,16,177259,28,313349,Very Low Confidence,192,Latin America and the Caribbean
Curaçao,113,74,12079,13,2093,26,4178,Low Confidence,531,Latin America and the Caribbean
Cyprus,134,95,113306,13,15356,26,30649,Low Confidence,196,Western Asia
Czechia,109,70,746840,13,136943,26,273327,Low Confidence,203,Eastern Europe
Dem. People's Rep. Korea,125,81,2070528,16,401425,28,709621,Very Low Confidence,408,Eastern Asia
Dem. Rep. of the Congo,147,103,8912903,16,1357425,28,2399593,Very Low Confidence,180,Sub-Saharan Africa
Denmark,132,81,469449,30,172003,21,119134,High Confidence,208,Northern Europe
Djibouti,144,100,96962,16,15227,28,26918,Very Low Confidence,262,Sub-Saharan Africa
Dominica,116,72,5201,16,1123,28,1985,Very Low Confidence,212,Latin America and the Caribbean
Dominican Republic,116,72,777849,16,167960,28,296913,Very Low Confidence,214,Latin America and the Caribbean
Ecuador,116,72,1258415,16,271729,28,480349,Very Low Confidence,218,Latin America and the Caribbean
Egypt,135,91,9136941,16,1570093,28,2775538,Very Low Confidence,818,Northern Africa
El Salvador,124,80,516828,16,100936,28,178430,Very Low Confidence,222,Latin America and the Caribbean
Equatorial Guinea,136,92,124670,16,21208,28,37491,Very Low Confidence,226,Sub-Saharan Africa
Eritrea,147,103,359132,16,54695,28,96688,Very Low Confidence,232,Sub-Saharan Africa
Estonia,100,78,102743,5,6243,17,22013,Medium Confidence,233,Northern Europe
Eswatini,144,100,114341,16,17957,28,31743,Very Low Confidence,748,Sub-Saharan Africa
Ethiopia,136,92,10327236,16,1752936,28,3098760,Very Low Confidence,231,Sub-Saharan Africa
Faroe Islands,115,76,3710,13,624,26,1245,Low Confidence,234,Northern Europe
Fiji,120,76,67385,16,13920,28,24607,Very Low Confidence,242,Melanesia
Finland,101,65,361937,13,70875,23,128927,Low Confidence,246,Northern Europe
France,135,85,5522358,26,1667568,24,1594579,Medium Confidence,250,Western Europe
French Polynesia,118,79,21978,13,3578,26,7142,Low Confidence,258,Polynesia
Gabon,136,92,199748,16,33980,28,60068,Very Low Confidence,266,Sub-Saharan Africa
Gambia,147,103,241095,16,36719,28,64909,Very Low Confidence,270,Sub-Saharan Africa
Georgia,145,101,403573,16,62511,28,110504,Very Low Confidence,268,Western Asia
Germany,102,75,6263775,6,498244,21,1718433,High Confidence,276,Western Europe
Ghana,128,84,2555332,16,475743,28,840996,Very Low Confidence,288,Sub-Saharan Africa
Gibraltar,123,84,2840,13,432,26,862,Low Confidence,292,Southern Europe
Greece,175,142,1483996,7,77332,26,267812,Medium Confidence,300,Southern Europe
Greenland,113,74,4178,13,726,26,1450,Low Confidence,304,Northern America
Grenada,116,72,8112,16,1752,28,3097,Very Low Confidence,308,Latin America and the Caribbean
Guam,118,79,13165,13,2143,26,4278,Low Confidence,316,Micronesia
Guatemala,116,72,1273466,16,274979,28,486095,Very Low Confidence,320,Latin America and the Caribbean
Guinea,147,103,1311530,16,199744,28,353099,Very Low Confidence,324,Sub-Saharan Africa
Guinea-Bissau,147,103,197266,16,30043,28,53109,Very Low Confidence,624,Sub-Saharan Africa
Guyana,116,72,56700,16,12243,28,21643,Very Low Confidence,328,Latin America and the Caribbean
Haiti,127,83,936940,16,176157,28,311403,Very Low Confidence,332,Latin America and the Caribbean
